Date,Time,ms,LEVEL,TEMPERATURE
5/15/2025,12:00:00 PM,0,9.4246,10.95
5/15/2025,12:05:00 PM,0,9.4238,10.494
5/15/2025,12:10:00 PM,0,9.4236,10.222
5/15/2025,12:15:00 PM,0,9.4215,10.05
5/15/2025,12:20:00 PM,0,9.4203,9.936
5/15/2025,12:25:00 PM,0,9.4195,9.868
5/15/2025,12:30:00 PM,0,9.4194,9.833
5/15/2025,12:35:00 PM,0,9.4195,9.812
5/15/2025,12:40:00 PM,0,9.4196,9.8
5/15/2025,12:45:00 PM,0,9.4198,9.799
5/15/2025,12:50:00 PM,0,9.4193,9.804
5/15/2025,12:55:00 PM,0,9.4193,9.813
5/15/2025,1:00:00 PM,0,9.4196,9.823
5/15/2025,1:05:00 PM,0,9.4199,9.832
5/15/2025,1:10:00 PM,0,9.4197,9.838
5/15/2025,1:15:00 PM,0,9.4196,9.841
5/15/2025,1:20:00 PM,0,9.4197,9.844
5/15/2025,1:25:00 PM,0,9.4198,9.85
5/15/2025,1:30:00 PM,0,9.4197,9.853
5/15/2025,1:35:00 PM,0,9.4199,9.864
5/15/2025,1:40:00 PM,0,9.4195,9.875
5/15/2025,1:45:00 PM,0,9.4198,9.885
5/15/2025,1:50:00 PM,0,9.4194,9.884
5/15/2025,1:55:00 PM,0,9.419,9.877
5/15/2025,2:00:00 PM,0,9.4188,9.862
5/15/2025,2:05:00 PM,0,9.4183,9.842
5/15/2025,2:10:00 PM,0,9.4181,9.826
5/15/2025,2:15:00 PM,0,9.4178,9.808
5/15/2025,2:20:00 PM,0,9.4174,9.796
5/15/2025,2:25:00 PM,0,9.417,9.788
5/15/2025,2:30:00 PM,0,9.4168,9.784
5/15/2025,2:35:00 PM,0,9.4166,9.779
5/15/2025,2:40:00 PM,0,9.4163,9.771
5/15/2025,2:45:00 PM,0,9.4159,9.761
5/15/2025,2:50:00 PM,0,9.4149,9.735
5/15/2025,2:55:00 PM,0,9.4141,9.702
5/15/2025,3:00:00 PM,0,9.4133,9.668
5/15/2025,3:05:00 PM,0,9.413,9.635
5/15/2025,3:10:00 PM,0,9.4119,9.605
5/15/2025,3:15:00 PM,0,9.4116,9.579
5/15/2025,3:20:00 PM,0,9.4108,9.55
5/15/2025,3:25:00 PM,0,9.4102,9.522
5/15/2025,3:30:00 PM,0,9.4091,9.493
5/15/2025,3:35:00 PM,0,9.4088,9.467
5/15/2025,3:40:00 PM,0,9.4083,9.442
5/15/2025,3:45:00 PM,0,9.4075,9.42
5/15/2025,3:50:00 PM,0,9.407,9.401
5/15/2025,3:55:00 PM,0,9.4065,9.386
5/15/2025,4:00:00 PM,0,9.4063,9.372
5/15/2025,4:05:00 PM,0,9.4066,9.38
5/15/2025,4:10:00 PM,0,9.4068,9.399
5/15/2025,4:15:00 PM,0,9.4074,9.424
5/15/2025,4:20:00 PM,0,9.4079,9.449
5/15/2025,4:25:00 PM,0,9.4076,9.457
5/15/2025,4:30:00 PM,0,9.4073,9.446
5/15/2025,4:35:00 PM,0,9.4075,9.439
5/15/2025,4:40:00 PM,0,9.4072,9.429
5/15/2025,4:45:00 PM,0,9.4072,9.418
5/15/2025,4:50:00 PM,0,9.4076,9.403
5/15/2025,4:55:00 PM,0,9.4071,9.383
5/15/2025,5:00:00 PM,0,9.4069,9.355
5/15/2025,5:05:00 PM,0,9.407,9.326
5/15/2025,5:10:00 PM,0,9.4069,9.295
5/15/2025,5:15:00 PM,0,9.4066,9.265
5/15/2025,5:20:00 PM,0,9.4069,9.242
5/15/2025,5:25:00 PM,0,9.4068,9.217
5/15/2025,5:30:00 PM,0,9.4064,9.193
5/15/2025,5:35:00 PM,0,9.4068,9.167
