"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018",180,282,6.9896,12.31147,NA,NA,NA,0.0373400880983332,86,33.0938,196,183,9.14582,13.2708,13,NA,176.5,NA,NA,2,NA,61.46,47.5814,57.92,NA,2,NA
"3","2019",87,283,6,7,3,14.0901273041927,53,0.0380038031631187,87,65,196,100,11.14372,21.5,96,188,170,183,3,23,11,61.46,47.5814,57.92,3,6,3
"4","2020",NA,282,NA,NA,NA,NA,NA,0.046875,158,30.7083,124,120,7.93034,10.5417,4,NA,118,NA,NA,1,NA,61.46,47.5814,57.92,NA,1,NA
"5","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
