date_time,stage_m,temp_C,water_year,flow_cfs
2019-07-13T08:45:00Z,0.1846,8.69,2019,3.964232708410555
2019-07-13T09:00:00Z,0.1893,8.747,2019,4.1976500423267655
2019-07-13T09:15:00Z,0.1877,8.811,2019,4.117348142260857
2019-07-13T09:30:00Z,0.1917,8.879,2019,4.319735659935567
2019-07-13T09:45:00Z,0.1918,8.957,2019,4.324865164961438
2019-07-13T10:00:00Z,0.1933,9.052,2019,4.4022175269542245
2019-07-13T10:15:00Z,0.1949,9.138,2019,4.485574897089527
2019-07-13T10:30:00Z,0.1944,9.207,2019,4.459431550177975
2019-07-13T10:45:00Z,0.1941,9.287,2019,4.443786649399044
2019-07-13T11:00:00Z,0.1975,9.365,2019,4.622903034596911
2019-07-13T11:15:00Z,0.1973,9.44,2019,4.612256873312776
2019-07-13T11:30:00Z,0.1993,9.513,2019,4.719338192700256
2019-07-13T11:45:00Z,0.1994,9.584,2019,4.7247284400407334
2019-07-13T12:00:00Z,0.201,9.648,2019,4.811441832499947
2019-07-13T12:15:00Z,0.1993,9.702,2019,4.719338192700256
2019-07-13T12:30:00Z,0.2019,9.76,2019,4.860606898313144
2019-07-13T12:45:00Z,0.2007,9.797,2019,4.795115719442963
2019-07-13T13:00:00Z,0.2005,9.831,2019,4.784248922516582
2019-07-13T13:15:00Z,0.1991,9.861,2019,4.708568044154967
2019-07-13T13:30:00Z,0.1998,9.883,2019,4.746323927645703
2019-07-13T13:45:00Z,0.1974,9.911,2019,4.617578234065903
2019-07-13T14:00:00Z,0.199,9.942,2019,4.7031881419959625
2019-07-13T14:15:00Z,0.1979,9.891,2019,4.644236644100234
2019-07-13T14:30:00Z,0.1976,9.876,2019,4.628231275385955
2019-07-13T14:45:00Z,0.1898,9.866,2019,4.222922805644791
2019-07-13T15:00:00Z,0.2017,9.854,2019,4.849657111779925
2019-07-13T15:15:00Z,0.1973,9.836,2019,4.612256873312776
2019-07-13T15:30:00Z,0.2023,9.841,2019,4.882548009710458
2019-07-13T15:45:00Z,0.2001,9.815,2019,4.762556779841548
2019-07-13T16:00:00Z,0.2023,9.774,2019,4.882548009710458
2019-07-13T16:15:00Z,0.2021,9.632,2019,4.871570529697195
2019-07-13T16:30:00Z,0.1966,9.543,2019,4.575103621451344
2019-07-13T16:45:00Z,0.1954,9.345,2019,4.511803936899264
2019-07-13T17:00:00Z,0.194,9.161,2019,4.43857853078658
2019-07-13T17:15:00Z,0.1878,9.081,2019,4.122341547322238
2019-07-13T17:30:00Z,0.1968,9.007,2019,4.5857016493975244
2019-07-13T17:45:00Z,0.2004,9.025,2019,4.778820706163081
2019-07-13T18:00:00Z,0.1961,9.041,2019,4.548668671931933
2019-07-13T18:15:00Z,0.1998,9.078,2019,4.746323927645703
2019-07-13T18:30:00Z,0.1902,9.073,2019,4.243202262986559
2019-07-13T18:45:00Z,0.1894,9.01,2019,4.202697792439344
2019-07-13T19:00:00Z,0.1923,9.005,2019,4.3505638889421645
2019-07-13T19:15:00Z,0.1932,8.975,2019,4.397036781485309
2019-07-13T19:30:00Z,0.1926,8.93,2019,4.366024100044746
2019-07-13T19:45:00Z,0.1935,8.908,2019,4.412589278193365
2019-07-13T20:00:00Z,0.1888,8.861,2019,4.172462286146734
2019-07-13T20:15:00Z,0.1914,8.8,2019,4.30436761557199
2019-07-13T20:30:00Z,0.1881,8.754,2019,4.137342121530376
2019-07-13T20:45:00Z,0.1904,8.704,2019,4.2533624180848975
2019-07-13T21:00:00Z,0.1848,8.664,2019,3.9740130357740213
2019-07-13T21:15:00Z,0.1884,8.633,2019,4.152373244722466
2019-07-13T21:30:00Z,0.1817,8.606,2019,3.8239337908147175
2019-07-13T21:45:00Z,0.1857,8.585,2019,4.018191768853273
2019-07-13T22:00:00Z,0.1808,8.559,2019,3.780968246392808
2019-07-13T22:15:00Z,0.1827,8.53,2019,3.8719927003533723
2019-07-13T22:30:00Z,0.1796,8.514,2019,3.7241038346684636
2019-07-13T22:45:00Z,0.183,8.506,2019,3.886476010320482
2019-07-13T23:00:00Z,0.1824,8.493,2019,3.857539695112201
2019-07-13T23:15:00Z,0.1834,8.484,2019,3.9058342546486537
2019-07-13T23:30:00Z,0.182,8.472,2019,3.8383161384219697
2019-07-13T23:45:00Z,0.1842,8.463,2019,3.944712571326823
2019-07-14T00:00:00Z,0.1827,8.465,2019,3.8719927003533723
2019-07-14T00:15:00Z,0.1837,8.471,2019,3.920388328916392
2019-07-14T00:30:00Z,0.1829,8.459,2019,3.881644872293283
2019-07-14T00:45:00Z,0.1833,8.447,2019,3.9009896387196417
2019-07-14T01:00:00Z,0.1831,8.435,2019,3.8913105170624873
2019-07-14T01:15:00Z,0.1828,8.424,2019,3.8768171024734572
2019-07-14T01:30:00Z,0.1826,8.416,2019,3.867171665425193
2019-07-14T01:45:00Z,0.1838,8.415,2019,3.925246430853307
2019-07-14T02:00:00Z,0.1842,8.41,2019,3.944712571326823
2019-07-14T02:15:00Z,0.1842,8.405,2019,3.944712571326823
2019-07-14T02:30:00Z,0.1829,8.401,2019,3.881644872293283
2019-07-14T02:45:00Z,0.1832,8.395,2019,3.8961483930265297
2019-07-14T03:00:00Z,0.184,8.392,2019,3.934972753533929
2019-07-14T03:15:00Z,0.1853,8.39,2019,3.998522974745682
2019-07-14T03:30:00Z,0.1821,8.388,2019,3.8431169808745427
2019-07-14T03:45:00Z,0.1827,8.381,2019,3.8719927003533723
2019-07-14T04:00:00Z,0.1819,8.375,2019,3.833518659600811
2019-07-14T04:15:00Z,0.1829,8.373,2019,3.881644872293283
2019-07-14T04:30:00Z,0.1839,8.368,2019,3.930107905557276
2019-07-14T04:45:00Z,0.1842,8.365,2019,3.944712571326823
2019-07-14T05:00:00Z,0.1833,8.364,2019,3.9009896387196417
2019-07-14T05:15:00Z,0.1842,8.364,2019,3.944712571326823
2019-07-14T05:30:00Z,0.1824,8.358,2019,3.857539695112201
2019-07-14T05:45:00Z,0.1836,8.355,2019,3.915533599240699
2019-07-14T06:00:00Z,0.1813,8.351,2019,3.804804394390007
2019-07-14T06:15:00Z,0.1821,8.352,2019,3.8431169808745427
2019-07-14T06:30:00Z,0.183,8.354,2019,3.886476010320482
2019-07-14T06:45:00Z,0.1827,8.36,2019,3.8719927003533723
2019-07-14T07:00:00Z,0.1823,8.366,2019,3.852728758710712
2019-07-14T07:15:00Z,0.185,8.38,2019,3.983806874395025
2019-07-14T07:30:00Z,0.1847,8.408,2019,3.9691211834369957
2019-07-14T07:45:00Z,0.1867,8.443,2019,4.067600588126782
2019-07-14T08:00:00Z,0.1856,8.482,2019,4.013269498071527
2019-07-14T08:15:00Z,0.1855,8.534,2019,4.008350609127896
2019-07-14T08:30:00Z,0.1884,8.587,2019,4.152373244722466
2019-07-14T08:45:00Z,0.1889,8.64,2019,4.177493039783107
2019-07-14T09:00:00Z,0.1894,8.693,2019,4.202697792439344
2019-07-14T09:15:00Z,0.189,8.753,2019,4.182527191723682
2019-07-14T09:30:00Z,0.193,8.823,2019,4.386685548410317
2019-07-14T09:45:00Z,0.1945,8.904,2019,4.464653367037709
2019-07-14T10:00:00Z,0.1934,8.985,2019,4.407401692361073
2019-07-14T10:15:00Z,0.1943,9.106,2019,4.454213158608779
2019-07-14T10:30:00Z,0.1966,9.191,2019,4.575103621451344
2019-07-14T10:45:00Z,0.1958,9.239,2019,4.532848908314498
